area,confirmed,died,crued
南苏丹,1,,
马拉维,5,,
布隆迪,3,,
塞拉利昂,7,,1
博茨瓦纳,6,1,
北马里亚纳,8,1,
百慕大,37,,14
英属维尔京群岛,3,,
安圭拉,3,,
格林纳达,12,,
圣基茨和尼维斯,10,,
特克斯和凯科斯群岛,6,1,
几内亚比绍,33,,
马里,47,5,1
利比亚,19,1,1
老挝,12,,
伯利兹,5,1,
缅甸,22,1,
多米尼克,14,,
莫桑比克,10,,1
叙利亚,19,2,2
马恩岛,138,1,
巴布亚新几内亚,2,,
厄立特里亚,31,,
乌干达,52,,
安哥拉,16,2,2
东帝汶,1,,
新喀里多尼亚,18,,1
马达加斯加,82,,2
津巴布韦,10,1,
佛得角,7,1,
蒙特塞拉特,6,,
海地,21,,1
尼日尔,253,10,26
乍得,9,,
萨尔瓦多,69,3,2
尼加拉瓜,6,1,
斐济,14,,
毛里求斯,244,7,7
赞比亚,39,1,5
格恩西岛,136,2,
吉布提,90,,9
吉尔吉斯斯坦,216,4,16
巴巴多斯,56,1,6
黑山,233,2,1
冈比亚,4,1,2
美属维尔京群岛,40,,
关岛,93,4,
格陵兰岛,11,,3
贝宁,22,1,5
索马里,7,,1
坦桑尼亚,24,1,3
利比里亚,13,3,3
圭亚那合作共和国,31,5,8
马约特,147,2,14
巴哈马,29,5,4
乌兹别克斯坦,390,2,30
瓜德罗普,135,7,31
开曼群岛,39,1,1
刚果（布）,49,5,2
中非共和国,9,,3
塞舌尔,11,,
赤道几内亚,16,,1
纳米比亚,16,,3
卢旺达,105,,4
斯威士兰,10,,
毛里塔尼亚,6,1,2
阿鲁巴,64,,1
钻石公主号邮轮,712,11,619
苏里南,10,1,
库拉索,11,1,5
圣卢西亚,14,,1
圣文森特和格林纳丁斯,7,,1
泽西岛,123,3,
安提瓜和巴布达,15,,
波多黎各,452,18,
危地马拉,70,3,15
乌拉圭,415,6,123
委内瑞拉,159,7,52
苏丹,10,2,2
几内亚,128,,5
埃塞俄比亚,44,2,4
哈萨克斯坦,629,6,45
肯尼亚,158,6,4
特立尼达和多巴哥,105,8,1
加蓬,30,1,1
加纳,278,5,31
法属波利尼西亚,41,,
古巴,320,8,15
留尼汪岛,344,,40
科特迪瓦,323,3,41
洪都拉斯,298,22,6
玻利维亚,194,14,2
圣马丁岛,37,6,7
圣巴泰勒米岛,5,,
牙买加,58,3,8
土耳其,30217,649,1326
刚果（金）,161,18,3
巴拿马,1988,54,13
蒙古国,15,,2
布基纳法索,364,18,108
塞浦路斯,446,11,37
文莱,135,1,73
马提尼克,149,4,50
法属圭亚那,68,0,27
法罗群岛,183,,107
阿尔巴尼亚,377,22,116
孟加拉国,123,13,33
保加利亚,549,22,39
摩尔多瓦,965,19,37
马尔代夫,19,,13
巴拉圭,113,5,12
马耳他,241,,5
哥斯达黎加,454,2,16
哥伦比亚,1579,46,88
多哥,52,3,22
秘鲁,2561,92,997
斯洛伐克,534,2,10
喀麦隆,658,9,17
梵蒂冈,7,,
塞尔维亚,2200,58,54
直布罗陀,103,1,52
不丹,5,,2
列支敦士登,77,1,
巴勒斯坦,253,1,25
南非,1686,12,95
波黑,674,29,47
匈牙利,744,38,67
斯洛文尼亚,1021,30,79
波兰,4413,107,162
阿根廷,1554,80,280
智利,4771,34,618
乌克兰,1319,38,28
沙特阿拉伯,2605,38,551
突尼斯,596,22,5
塞内加尔,226,2,92
拉脱维亚,542,1,31
摩洛哥,1120,80,81
约旦,345,5,110
葡萄牙,11730,311,140
安道尔,526,21,31
印度尼西亚,2491,209,192
捷克,4591,75,96
多米尼加,1828,86,33
亚美尼亚,833,8,62
爱尔兰,5364,174,25
卢森堡,2804,36,500
厄瓜多尔,3747,191,100
卡塔尔,1832,5,131
圣马力诺,266,32,35
摩纳哥,77,1,3
冰岛,1562,6,460
墨西哥,2439,125,633
阿塞拜疆,641,7,44
白俄罗斯,700,13,53
新西兰,1160,1,241
立陶宛,843,14,8
尼日利亚,238,5,35
埃及,1322,85,259
荷兰,18803,1867,262
爱沙尼亚,1108,19,62
丹麦,4681,187,1437
罗马尼亚,4057,162,406
北马其顿,570,21,30
挪威,5762,76,32
格鲁吉亚,188,2,36
巴基斯坦,3766,53,259
希腊,1755,79,78
阿尔及利亚,1320,152,90
瑞士,21657,765,8056
克罗地亚,1222,16,130
奥地利,12297,220,3463
阿曼,331,2,61
阿富汗,367,7,15
巴林,723,4,451
科威特,665,1,103
伊拉克,961,61,279
黎巴嫩,541,19,55
以色列,8904,57,670
伊朗,60500,3739,24236
巴西,12232,566,127
比利时,20814,1632,3986
西班牙,136675,13341,40437
瑞典,7206,477,205
俄罗斯,6343,47,355
英国,51608,5373,229
意大利,132547,16523,22837
印度,4553,118,328
菲律宾,3660,163,73
芬兰,2176,28,300
阿联酋,2076,11,167
斯里兰卡,178,5,34
柬埔寨,114,,50
尼泊尔,9,,1
加拿大,16666,323,3534
德国,103375,1810,28700
越南,245,,95
法国,98984,8926,17429
美国,367507,10908,19598
韩国,10331,192,6694
澳大利亚,5844,42,2432
马来西亚,3793,62,1241
日本,4083,97,575
新加坡,1309,6,320
泰国,2220,26,793
中国,83071,3340,77450
