area,confirmed,died,crued
阿拉伯联合酋长国,4123,22,680
福克兰群岛马尔维纳斯,5,,1
也门,1,,
圣皮埃尔,1,,
圣多美和普林西比,4,,
南苏丹,4,,
马拉维,13,2,
布隆迪,5,,
塞拉利昂,10,,
博茨瓦纳,13,1,
百慕大,50,4,28
英属维尔京群岛,3,,2
安圭拉,3,,
格林纳达,14,,
圣基茨和尼维斯,12,,
特克斯和凯科斯群岛,9,1,
几内亚比绍,39,,3
马里,116,9,25
利比亚,25,1,9
老挝,19,,
伯利兹,13,2,
缅甸,41,4,2
多米尼克,16,,5
莫桑比克,21,,2
叙利亚,25,2,5
马恩岛,226,2,112
巴布亚新几内亚,2,,
厄立特里亚,34,,
乌干达,54,,18
安哥拉,19,2,4
东帝汶,2,,1
新喀里多尼亚,18,,1
马达加斯加,106,,20
津巴布韦,14,3,
佛得角,8,1,1
蒙特塞拉特,11,,1
海地,33,3,1
尼日尔,529,12,75
乍得,18,,2
萨尔瓦多,125,6,21
尼加拉瓜,9,1,4
斐济,16,,
毛里求斯,324,9,42
赞比亚,43,2,30
格恩西岛,191,5,
吉布提,214,2,36
吉尔吉斯斯坦,377,5,54
巴巴多斯,68,4,11
黑山,267,3,5
冈比亚,9,1,2
格陵兰岛,11,,11
贝宁,35,1,5
索马里,21,1,2
坦桑尼亚,32,3,5
利比里亚,50,5,3
圭亚那合作共和国,45,6,8
马约特,196,3,59
巴哈马,46,8,5
乌兹别克斯坦,833,4,42
瓜德罗普,143,8,67
开曼群岛,53,2,6
刚果（布）,70,5,8
中非共和国,11,,3
塞舌尔,11,,
赤道几内亚,21,,3
纳米比亚,16,,3
卢旺达,126,,25
斯威士兰,14,,7
毛里塔尼亚,7,1,2
阿鲁巴,92,,29
钻石公主号邮轮,712,12,639
苏里南,10,1,4
库拉索,14,1,7
圣卢西亚,15,,4
圣文森特和格林纳丁斯,12,,1
泽西岛,183,4,
安提瓜和巴布达,21,2,
危地马拉,153,3,19
乌拉圭,501,7,224
委内瑞拉,175,9,93
苏丹,19,2,2
几内亚,250,,17
埃塞俄比亚,71,3,10
哈萨克斯坦,911,10,86
肯尼亚,197,8,25
特立尼达和多巴哥,113,8,12
加蓬,57,1,1
加纳,566,8,4
法属波利尼西亚,51,,
古巴,620,16,77
留尼汪岛,388,,40
科特迪瓦,574,5,85
洪都拉斯,393,25,7
玻利维亚,300,24,2
圣马丁岛,50,9,11
圣巴泰勒米岛,6,,1
牙买加,69,4,13
土耳其,56956,1198,3446
刚果（金）,234,20,16
巴拿马,3400,87,29
蒙古国,16,,4
布基纳法索,497,27,161
塞浦路斯,633,11,61
文莱,136,1,99
马提尼克,155,6,50
法属圭亚那,86,0,51
法罗群岛,184,,145
阿尔巴尼亚,446,23,217
孟加拉国,621,34,39
保加利亚,675,29,68
摩尔多瓦,1662,31,94
马尔代夫,20,,14
巴拉圭,134,6,22
马耳他,378,3,44
哥斯达黎加,577,3,49
哥伦比亚,2776,109,270
多哥,76,3,25
秘鲁,7519,193,1798
斯洛伐克,742,2,23
喀麦隆,836,12,98
梵蒂冈,8,,2
塞尔维亚,3630,80,400
直布罗陀,129,1,84
不丹,5,,2
列支敦士登,80,1,55
巴勒斯坦,268,2,57
南非,2173,25,410
波黑,1009,39,193
匈牙利,1410,99,118
斯洛文尼亚,1205,53,150
波兰,6674,232,439
阿根廷,2208,95,468
智利,7213,80,2059
乌克兰,2777,83,89
沙特阿拉伯,4462,59,761
突尼斯,707,31,43
塞内加尔,280,2,171
拉脱维亚,651,5,16
摩洛哥,1661,118,177
约旦,389,7,201
葡萄牙,16585,504,277
安道尔,638,29,128
印度尼西亚,4241,373,359
捷克,5991,138,464
多米尼加,2967,173,131
亚美尼亚,1013,13,197
爱尔兰,9655,334,25
卢森堡,3281,66,500
厄瓜多尔,7466,333,501
卡塔尔,2979,7,275
圣马力诺,356,35,53
摩纳哥,93,1,5
冰岛,1701,8,889
墨西哥,4661,296,1772
阿塞拜疆,1098,11,250
白俄罗斯,2578,26,203
新西兰,1349,5,546
立陶宛,1053,23,97
尼日利亚,323,10,85
埃及,2065,159,589
荷兰,25587,2737,291
爱沙尼亚,1309,25,98
丹麦,6191,273,2123
罗马尼亚,6300,316,852
北马其顿,828,34,41
挪威,6525,128,32
格鲁吉亚,257,3,67
巴基斯坦,5230,91,1028
希腊,2114,98,269
阿尔及利亚,1914,293,591
瑞士,25415,1106,12700
克罗地亚,1660,23,373
奥地利,13945,350,6987
阿曼,599,4,109
阿富汗,607,18,32
巴林,1136,6,558
科威特,1234,1,142
伊拉克,1352,76,640
黎巴嫩,630,20,77
以色列,11145,103,1627
伊朗,71686,4537,43894
巴西,22318,1230,173
比利时,29647,3600,6463
西班牙,166831,17209,62391
瑞典,10483,899,381
俄罗斯,15770,130,1291
英国,85206,10629,625
意大利,156363,19899,34211
印度,9205,331,1080
菲律宾,4648,297,197
芬兰,2974,56,300
斯里兰卡,203,7,55
柬埔寨,122,,77
尼泊尔,12,,1
加拿大,24384,717,7172
德国,127854,3022,60300
越南,260,,144
法国,133670,14412,27186
美国,560433,22115,32634
韩国,10537,217,7447
澳大利亚,6322,61,3338
马来西亚,4683,76,2108
日本,7423,138,762
新加坡,2532,8,560
泰国,2551,38,1218
中国,83597,3351,78145
