area,confirmed,died,crued
博茨瓦纳,3,,
北马里亚纳,2,,
百慕大,17,,2
英属维尔京群岛,3,,
安圭拉,2,,
格林纳达,9,,
圣基茨和尼维斯,2,,
特克斯和凯科斯群岛,4,,
几内亚比绍,2,,
马里,25,2,
利比亚,8,,
老挝,9,,
伯利兹,2,,
缅甸,14,1,
多米尼克,11,,
莫桑比克,8,,
叙利亚,10,2,
马恩岛,32,,
巴布亚新几内亚,1,,
厄立特里亚,12,,
乌干达,33,,
安哥拉,7,2,1
东帝汶,1,,
新喀里多尼亚,15,,
马达加斯加,46,,
津巴布韦,8,1,
佛得角,6,1,
蒙特塞拉特,5,,
海地,15,,
尼日尔,27,3,
乍得,5,,
萨尔瓦多,32,,
尼加拉瓜,4,1,
斐济,5,,
毛里求斯,131,3,
赞比亚,35,,
格恩西岛,36,,
吉布提,25,,
吉尔吉斯斯坦,94,,3
巴巴多斯,34,,
黑山,91,1,
冈比亚,4,1,
美属维尔京群岛,22,,
关岛,56,1,
格陵兰岛,10,,2
贝宁,6,,
索马里,3,,
坦桑尼亚,19,,1
利比里亚,3,,
圭亚那合作共和国,8,1,
马约特,63,,
巴哈马,14,,1
乌兹别克斯坦,150,2,7
瓜德罗普,102,2,17
开曼群岛,12,1,
刚果（布）,19,,
中非共和国,6,,
塞舌尔,8,,
赤道几内亚,14,,
纳米比亚,11,,2
卢旺达,70,,
斯威士兰,9,,
毛里塔尼亚,6,1,2
阿鲁巴,46,,1
钻石公主号邮轮,712,11,603
苏里南,8,,
库拉索,8,1,2
圣卢西亚,4,,1
圣文森特和格林纳丁斯,1,,1
泽西岛,52,2,
安提瓜和巴布达,7,,
波多黎各,64,2,
危地马拉,36,1,10
乌拉圭,320,1,6
委内瑞拉,135,3,39
苏丹,6,2,
几内亚,16,,1
埃塞俄比亚,21,,1
哈萨克斯坦,325,1,21
肯尼亚,50,1,1
特立尼达和多巴哥,85,3,1
加蓬,16,1,
加纳,152,5,2
法属波利尼西亚,36,,
古巴,170,4,4
留尼汪岛,183,,1
科特迪瓦,168,1,6
洪都拉斯,139,3,3
玻利维亚,107,6,
圣马丁岛,12,,
圣巴泰勒米岛,5,,
牙买加,32,1,2
土耳其,10827,168,162
刚果（金）,81,8,3
巴拿马,1075,26,9
蒙古国,12,,
布基纳法索,246,12,31
塞浦路斯,230,6,16
文莱,127,1,38
马提尼克,105,1,
法属圭亚那,31,0,6
法罗群岛,155,,54
阿尔巴尼亚,223,11,44
孟加拉国,49,5,19
保加利亚,359,8,15
摩尔多瓦,298,2,15
马尔代夫,17,,11
巴拉圭,64,3,1
马耳他,156,,2
哥斯达黎加,314,2,3
哥伦比亚,798,12,15
多哥,34,1,10
秘鲁,950,24,16
斯洛伐克,336,,2
喀麦隆,142,6,5
梵蒂冈,6,,
塞尔维亚,785,16,42
直布罗陀,65,,14
不丹,4,,
列支敦士登,56,,
巴勒斯坦,117,1,18
南非,1326,3,31
波黑,358,9,17
匈牙利,447,15,34
斯洛文尼亚,756,11,10
波兰,2055,31,13
阿根廷,966,24,228
智利,2449,8,156
乌克兰,548,13,8
沙特阿拉伯,1453,8,115
突尼斯,362,10,2
塞内加尔,162,,28
拉脱维亚,376,,1
摩洛哥,556,33,15
约旦,268,5,26
葡萄牙,6408,140,43
安道尔,334,6,6
印度尼西亚,1414,122,75
捷克,3001,23,25
多米尼加,859,39,3
亚美尼亚,482,3,30
爱尔兰,2910,54,5
卢森堡,1988,22,40
厄瓜多尔,1966,62,3
卡塔尔,693,1,51
圣马力诺,230,25,13
摩纳哥,49,1,1
冰岛,1086,2,157
墨西哥,1094,28,35
阿塞拜疆,273,4,26
白俄罗斯,152,,47
新西兰,600,1,74
立陶宛,491,7,7
尼日利亚,131,2,8
埃及,656,41,150
荷兰,11817,865,253
爱沙尼亚,715,3,20
丹麦,2755,77,73
罗马尼亚,2109,65,209
北马其顿,259,6,3
挪威,4464,32,12
格鲁吉亚,100,,18
巴基斯坦,1836,20,57
希腊,1212,43,52
阿尔及利亚,584,35,37
瑞士,15922,359,1823
克罗地亚,790,6,67
奥地利,9618,108,646
阿曼,179,,29
阿富汗,174,4,2
巴林,515,4,295
科威特,266,,72
伊拉克,630,46,152
黎巴嫩,446,11,32
以色列,4347,15,139
伊朗,41495,2757,13911
巴西,4661,165,127
比利时,11899,513,1527
西班牙,87956,7716,16780
瑞典,4028,146,16
俄罗斯,1836,9,66
英国,22454,1411,171
意大利,101739,11591,14620
印度,1251,32,102
菲律宾,1546,78,42
芬兰,1355,13,10
阿联酋,611,5,61
斯里兰卡,122,1,15
柬埔寨,107,,21
尼泊尔,5,,1
加拿大,7448,89,1020
德国,67788,648,17200
越南,194,,52
法国,45170,3030,7964
美国,164603,3170,5896
韩国,9786,162,5408
澳大利亚,4245,18,244
马来西亚,2626,37,479
日本,2007,59,424
新加坡,879,3,228
泰国,1651,10,229
中国,81518,3305,76052
