,date,country,confirmed
227,2020-01-21,中国,0
228,2020-01-21,日本,1
229,2020-01-21,韩国,1
230,2020-01-21,泰国,3
231,2020-01-22,中国,571
232,2020-01-22,中国,14
233,2020-01-22,中国,2
234,2020-01-22,中国,2
235,2020-01-22,中国,1
236,2020-01-22,中国,1
237,2020-01-22,中国,1
238,2020-01-22,中国,2
239,2020-01-22,中国,1
240,2020-01-22,中国,2
241,2020-01-22,中国,2
242,2020-01-22,中国,4
243,2020-01-22,中国,1
244,2020-01-22,中国,1
245,2020-01-22,中国,1
246,2020-01-22,中国,1
247,2020-01-22,中国,2
248,2020-01-22,中国,1
249,2020-01-22,中国,1
250,2020-01-22,中国,1
251,2020-01-22,中国,1
252,2020-01-22,中国,1
253,2020-01-22,中国,1
254,2020-01-22,中国,16
255,2020-01-22,中国,1
256,2020-01-22,中国,1
257,2020-01-22,中国,10
258,2020-01-22,中国,1
259,2020-01-22,中国,3
260,2020-01-22,中国,4
261,2020-01-22,中国,1
262,2020-01-22,中国,1
263,2020-01-22,中国,1
264,2020-01-22,中国,1
265,2020-01-22,中国,0
266,2020-01-22,中国,1
267,2020-01-22,中国,1
268,2020-01-22,中国,3
269,2020-01-22,中国,1
270,2020-01-22,中国,1
271,2020-01-22,中国,1
272,2020-01-22,中国,6
273,2020-01-22,中国,3
274,2020-01-22,中国,1
275,2020-01-22,中国,2
276,2020-01-22,中国,5
277,2020-01-22,中国,2
278,2020-01-22,中国,1
279,2020-01-22,中国,1
280,2020-01-22,中国,1
281,2020-01-22,中国,444
282,2020-01-22,中国,4
283,2020-01-22,中国,1
284,2020-01-22,中国,3
285,2020-01-22,中国,32
286,2020-01-22,中国,5
287,2020-01-22,中国,2
288,2020-01-22,中国,15
289,2020-01-22,中国,4
290,2020-01-22,中国,1
291,2020-01-22,中国,2
292,2020-01-22,中国,1
293,2020-01-22,中国,1
294,2020-01-22,中国,1
295,2020-01-22,中国,2
296,2020-01-22,中国,0
297,2020-01-22,中国,1
298,2020-01-22,中国,1
299,2020-01-22,中国,5
300,2020-01-22,中国,1
301,2020-01-22,中国,2
302,2020-01-22,中国,0
303,2020-01-22,中国,0
304,2020-01-22,中国,0
305,2020-01-22,中国,0
306,2020-01-22,中国,1
307,2020-01-22,中国,0
308,2020-01-22,中国,1
309,2020-01-22,中国,0
310,2020-01-22,中国,0
311,2020-01-22,中国,9
312,2020-01-22,中国,2
313,2020-01-22,中国,1
314,2020-01-22,中国,1
315,2020-01-22,中国,2
316,2020-01-22,中国,1
317,2020-01-22,中国,2
318,2020-01-22,中国,5
319,2020-01-22,中国,2
320,2020-01-22,中国,2
321,2020-01-22,中国,1
322,2020-01-22,中国,3
323,2020-01-22,中国,1
324,2020-01-22,中国,1
325,2020-01-22,中国,1
326,2020-01-22,中国,4
327,2020-01-22,中国,2
328,2020-01-22,中国,1
329,2020-01-22,中国,1
330,2020-01-22,中国,1
331,2020-01-22,中国,1
332,2020-01-22,中国,1
333,2020-01-22,中国,1
334,2020-01-22,中国,1
335,2020-01-22,日本,1
336,2020-01-22,韩国,1
337,2020-01-22,泰国,3
338,2020-01-22,美国,1
339,2020-01-23,中国,830
340,2020-01-23,中国,22
341,2020-01-23,中国,6
342,2020-01-23,中国,3
343,2020-01-23,中国,2
344,2020-01-23,中国,1
345,2020-01-23,中国,1
346,2020-01-23,中国,3
347,2020-01-23,中国,2
348,2020-01-23,中国,2
349,2020-01-23,中国,2
350,2020-01-23,中国,5
351,2020-01-23,中国,2
352,2020-01-23,中国,1
353,2020-01-23,中国,1
354,2020-01-23,中国,1
355,2020-01-23,中国,1
356,2020-01-23,中国,1
357,2020-01-23,中国,1
358,2020-01-23,中国,0
359,2020-01-23,中国,4
360,2020-01-23,中国,2
361,2020-01-23,中国,1
362,2020-01-23,中国,1
363,2020-01-23,中国,3
364,2020-01-23,中国,1
365,2020-01-23,中国,1
366,2020-01-23,中国,1
367,2020-01-23,中国,4
368,2020-01-23,中国,1
369,2020-01-23,中国,1
370,2020-01-23,中国,1
371,2020-01-23,中国,1
372,2020-01-23,中国,20
373,2020-01-23,中国,9
374,2020-01-23,中国,3
375,2020-01-23,中国,1
376,2020-01-23,中国,2
377,2020-01-23,中国,1
378,2020-01-23,中国,1
379,2020-01-23,中国,1
380,2020-01-23,中国,43
381,2020-01-23,中国,6
382,2020-01-23,中国,5
383,2020-01-23,中国,1
384,2020-01-23,中国,1
385,2020-01-23,中国,1
386,2020-01-23,中国,1
387,2020-01-23,中国,2
388,2020-01-23,中国,1
389,2020-01-23,中国,4
390,2020-01-23,中国,15
391,2020-01-23,中国,6
392,2020-01-23,中国,1
393,2020-01-23,中国,1
394,2020-01-23,中国,1
395,2020-01-23,中国,2
396,2020-01-23,中国,2
397,2020-01-23,中国,1
398,2020-01-23,中国,1
399,2020-01-23,中国,4
400,2020-01-23,中国,1
401,2020-01-23,中国,1
402,2020-01-23,中国,1
403,2020-01-23,中国,1
404,2020-01-23,中国,7
405,2020-01-23,中国,2
406,2020-01-23,中国,1
407,2020-01-23,中国,1
408,2020-01-23,中国,1
409,2020-01-23,中国,1
410,2020-01-23,中国,1
411,2020-01-23,中国,9
412,2020-01-23,中国,3
413,2020-01-23,中国,1
414,2020-01-23,中国,2
415,2020-01-23,中国,1
416,2020-01-23,中国,2
417,2020-01-23,中国,9
418,2020-01-23,中国,3
419,2020-01-23,中国,2
420,2020-01-23,中国,1
421,2020-01-23,中国,1
422,2020-01-23,中国,1
423,2020-01-23,中国,1
424,2020-01-23,中国,549
425,2020-01-23,中国,495
426,2020-01-23,中国,1
427,2020-01-23,中国,1
428,2020-01-23,中国,8
429,2020-01-23,中国,22
430,2020-01-23,中国,8
431,2020-01-23,中国,12
432,2020-01-23,中国,2
433,2020-01-23,中国,24
434,2020-01-23,中国,8
435,2020-01-23,中国,1
436,2020-01-23,中国,1
437,2020-01-23,中国,3
438,2020-01-23,中国,1
439,2020-01-23,中国,4
440,2020-01-23,中国,3
441,2020-01-23,中国,3
442,2020-01-23,中国,53
443,2020-01-23,中国,7
444,2020-01-23,中国,3
445,2020-01-23,中国,15
446,2020-01-23,中国,8
447,2020-01-23,中国,6
448,2020-01-23,中国,2
449,2020-01-23,中国,1
450,2020-01-23,中国,5
451,2020-01-23,中国,3
452,2020-01-23,中国,1
453,2020-01-23,中国,2
454,2020-01-23,中国,13
455,2020-01-23,中国,2
456,2020-01-23,中国,2
457,2020-01-23,中国,1
458,2020-01-23,中国,6
459,2020-01-23,中国,1
460,2020-01-23,中国,1
461,2020-01-23,中国,8
462,2020-01-23,中国,3
463,2020-01-23,中国,2
464,2020-01-23,中国,2
465,2020-01-23,中国,1
466,2020-01-23,中国,27
467,2020-01-23,中国,1
468,2020-01-23,中国,3
469,2020-01-23,中国,1
470,2020-01-23,中国,1
471,2020-01-23,中国,2
472,2020-01-23,中国,2
473,2020-01-23,中国,3
474,2020-01-23,中国,2
475,2020-01-23,中国,2
476,2020-01-23,中国,2
477,2020-01-23,中国,1
478,2020-01-23,中国,1
479,2020-01-23,中国,1
480,2020-01-23,中国,3
481,2020-01-23,中国,1
482,2020-01-23,中国,1
483,2020-01-23,中国,15
484,2020-01-23,中国,7
485,2020-01-23,中国,1
486,2020-01-23,中国,2
487,2020-01-23,中国,1
488,2020-01-23,中国,2
489,2020-01-23,中国,1
490,2020-01-23,中国,1
491,2020-01-23,中国,3
492,2020-01-23,中国,1
493,2020-01-23,中国,1
494,2020-01-23,中国,1
495,2020-01-23,中国,2
496,2020-01-23,中国,2
497,2020-01-23,中国,5
498,2020-01-23,中国,2
499,2020-01-23,中国,1
500,2020-01-23,中国,1
501,2020-01-23,中国,1
502,2020-01-23,中国,2
503,2020-01-23,中国,1
504,2020-01-23,中国,0
505,2020-01-23,中国,2
506,2020-01-23,中国,1
507,2020-01-23,中国,1
508,2020-01-23,中国,2
509,2020-01-23,中国,2
510,2020-01-23,中国,1
511,2020-01-23,中国,2
512,2020-01-23,中国,2
513,2020-01-23,日本,1
514,2020-01-23,韩国,1
515,2020-01-23,新加坡,1
516,2020-01-23,泰国,3
517,2020-01-23,美国,1
518,2020-01-23,越南,2
519,2020-01-24,中国,1287
520,2020-01-24,中国,36
521,2020-01-24,中国,10
522,2020-01-24,中国,4
523,2020-01-24,中国,5
524,2020-01-24,中国,2
525,2020-01-24,中国,1
526,2020-01-24,中国,6
527,2020-01-24,中国,2
528,2020-01-24,中国,1
529,2020-01-24,中国,3
530,2020-01-24,中国,2
531,2020-01-24,中国,8
532,2020-01-24,中国,8
533,2020-01-24,中国,4
534,2020-01-24,中国,1
535,2020-01-24,中国,1
536,2020-01-24,中国,2
537,2020-01-24,中国,6
538,2020-01-24,中国,2
539,2020-01-24,中国,1
540,2020-01-24,中国,1
541,2020-01-24,中国,2
542,2020-01-24,中国,2
543,2020-01-24,中国,0
544,2020-01-24,中国,0
545,2020-01-24,中国,1
546,2020-01-24,中国,1
547,2020-01-24,中国,12
548,2020-01-24,中国,3
