area,confirmed,died,crued
圣皮埃尔,1,,
福克兰群岛（马尔维纳,2,,
圣多美和普林西比,4,,
南苏丹,2,,
马拉维,8,1,
布隆迪,3,,
塞拉利昂,7,,1
博茨瓦纳,6,1,
北马里亚纳,8,2,
百慕大,39,3,23
英属维尔京群岛,3,,
安圭拉,3,,
格林纳达,12,,
圣基茨和尼维斯,11,,
特克斯和凯科斯群岛,8,1,
几内亚比绍,33,,
马里,59,7,16
利比亚,21,1,8
老挝,15,,
伯利兹,8,1,
缅甸,22,3,2
多米尼克,15,,1
莫桑比克,17,,1
叙利亚,19,2,4
马恩岛,158,1,82
巴布亚新几内亚,2,,
厄立特里亚,33,,
乌干达,53,,
安哥拉,19,2,2
东帝汶,1,,
新喀里多尼亚,18,,1
马达加斯加,93,,11
津巴布韦,11,3,
佛得角,7,1,1
蒙特塞拉特,9,,
海地,27,1,1
尼日尔,342,11,28
乍得,10,,2
萨尔瓦多,93,5,9
尼加拉瓜,6,1,
斐济,15,,
毛里求斯,273,7,19
赞比亚,39,1,7
格恩西岛,166,3,
吉布提,135,,25
吉尔吉斯斯坦,270,4,33
巴巴多斯,63,3,8
黑山,249,2,4
冈比亚,4,1,2
美属维尔京群岛,43,1,
关岛,121,4,
格陵兰岛,11,,10
贝宁,26,1,5
索马里,12,1,1
坦桑尼亚,25,1,5
利比里亚,31,4,3
圭亚那合作共和国,37,6,8
马约特,184,2,22
巴哈马,40,7,5
乌兹别克斯坦,545,3,30
瓜德罗普,141,8,43
开曼群岛,45,1,6
刚果（布）,49,5,2
中非共和国,11,,3
塞舌尔,11,,
赤道几内亚,18,,3
纳米比亚,16,,3
卢旺达,110,,7
斯威士兰,12,,7
毛里塔尼亚,6,1,2
阿鲁巴,77,,14
钻石公主号邮轮,712,11,620
苏里南,10,1,3
库拉索,14,1,7
圣卢西亚,14,,1
圣文森特和格林纳丁斯,8,,1
泽西岛,170,3,
安提瓜和巴布达,19,2,
波多黎各,573,23,
危地马拉,87,3,17
乌拉圭,456,7,192
委内瑞拉,167,9,65
苏丹,14,2,2
几内亚,164,,5
埃塞俄比亚,55,2,4
哈萨克斯坦,727,7,54
肯尼亚,179,6,9
特立尼达和多巴哥,107,8,1
加蓬,34,1,1
加纳,313,6,52
法属波利尼西亚,51,,
古巴,457,12,27
留尼汪岛,362,,40
科特迪瓦,384,3,48
洪都拉斯,343,23,6
玻利维亚,210,15,2
圣马丁岛,40,6,7
圣巴泰勒米岛,6,,1
牙买加,63,4,10
土耳其,38226,812,1846
刚果（金）,183,20,10
巴拿马,2528,63,16
蒙古国,16,,4
布基纳法索,414,23,134
塞浦路斯,526,11,52
文莱,135,1,91
马提尼克,154,6,50
法属圭亚那,83,0,43
法罗群岛,184,,131
阿尔巴尼亚,400,22,154
孟加拉国,218,20,33
保加利亚,593,24,42
摩尔多瓦,1174,27,40
马尔代夫,19,,13
巴拉圭,119,5,15
马耳他,299,1,16
哥斯达黎加,502,3,29
哥伦比亚,2054,55,123
多哥,70,3,23
秘鲁,4342,121,1333
斯洛伐克,682,2,16
喀麦隆,730,10,60
梵蒂冈,8,,2
塞尔维亚,2666,65,118
直布罗陀,120,1,60
不丹,5,,2
列支敦士登,78,1,55
巴勒斯坦,263,1,44
南非,1845,18,95
波黑,804,34,79
匈牙利,895,58,94
斯洛文尼亚,1091,40,120
波兰,5205,159,222
阿根廷,1795,80,358
智利,5546,48,1115
乌克兰,1668,52,35
沙特阿拉伯,3122,41,631
突尼斯,628,24,25
塞内加尔,244,2,113
拉脱维亚,577,2,31
摩洛哥,1275,93,97
约旦,358,6,150
葡萄牙,13141,380,196
安道尔,564,23,52
印度尼西亚,2956,240,222
捷克,5312,99,233
多米尼加,2111,108,50
亚美尼亚,881,9,114
爱尔兰,6074,235,25
卢森堡,3034,46,500
厄瓜多尔,4550,242,140
卡塔尔,2210,6,178
圣马力诺,308,34,45
摩纳哥,81,1,4
冰岛,1616,6,633
墨西哥,3181,174,633
阿塞拜疆,822,8,63
白俄罗斯,1066,13,77
新西兰,1239,1,317
立陶宛,912,15,8
尼日利亚,276,6,44
埃及,1560,103,305
荷兰,20682,2255,272
爱沙尼亚,1185,24,72
丹麦,5597,218,1763
罗马尼亚,4761,220,528
北马其顿,617,30,35
挪威,6086,101,32
格鲁吉亚,211,3,50
巴基斯坦,4263,61,467
希腊,1884,83,269
阿尔及利亚,1572,205,237
瑞士,23280,895,9800
克罗地亚,1343,19,179
奥地利,12942,273,4512
阿曼,419,2,72
阿富汗,444,14,29
巴林,823,5,477
科威特,855,1,112
伊拉克,1202,69,452
黎巴嫩,576,19,62
以色列,9404,73,801
伊朗,64586,3993,27039
巴西,16188,820,127
比利时,23403,2240,4681
西班牙,148220,14792,48021
瑞典,8419,687,205
俄罗斯,8672,63,580
英国,61474,7111,345
意大利,139422,17669,26491
印度,5916,178,506
菲律宾,3870,182,96
芬兰,2487,40,300
阿联酋,2659,12,239
斯里兰卡,189,7,44
柬埔寨,117,,63
尼泊尔,9,,1
加拿大,19438,435,4613
德国,113296,2349,46300
越南,251,,126
法国,113982,10887,21461
美国,435128,14795,23865
韩国,10423,204,6973
澳大利亚,6052,50,2813
马来西亚,4119,65,1487
日本,4979,105,632
新加坡,1623,7,406
泰国,2369,30,888
中国,83249,3344,77711
