area,confirmed,died,crued
布隆迪,2,,
塞拉利昂,1,,
博茨瓦纳,4,1,
北马里亚纳,2,,
百慕大,22,,2
英属维尔京群岛,3,,
安圭拉,2,,
格林纳达,9,,
圣基茨和尼维斯,8,,
特克斯和凯科斯群岛,5,,
几内亚比绍,8,,
马里,28,2,
利比亚,8,,
老挝,10,,
伯利兹,3,,
缅甸,15,1,
多米尼克,12,,
莫桑比克,8,,
叙利亚,10,2,
马恩岛,32,,
巴布亚新几内亚,1,,
厄立特里亚,15,,
乌干达,44,,
安哥拉,7,2,1
东帝汶,1,,
新喀里多尼亚,15,,
马达加斯加,57,,
津巴布韦,8,1,
佛得角,6,1,
蒙特塞拉特,5,,
海地,16,,
尼日尔,34,3,
乍得,7,,
萨尔瓦多,32,1,
尼加拉瓜,4,1,
斐济,5,,
毛里求斯,147,5,
赞比亚,36,,
格恩西岛,45,,
吉布提,30,,
吉尔吉斯斯坦,111,,3
巴巴多斯,34,,
黑山,120,2,
冈比亚,4,1,
美属维尔京群岛,30,,
关岛,58,1,
格陵兰岛,10,,2
贝宁,9,,1
索马里,5,,
坦桑尼亚,19,1,1
利比里亚,6,,
圭亚那合作共和国,8,1,
马约特,92,1,10
巴哈马,15,,1
乌兹别克斯坦,173,2,8
瓜德罗普,114,4,22
开曼群岛,12,1,
刚果（布）,22,3,2
中非共和国,6,,
塞舌尔,10,,
赤道几内亚,15,,1
纳米比亚,11,,2
卢旺达,75,,
斯威士兰,9,,
毛里塔尼亚,6,1,2
阿鲁巴,50,,1
钻石公主号邮轮,712,11,619
苏里南,10,,
库拉索,8,1,2
圣卢西亚,9,,1
圣文森特和格林纳丁斯,1,,1
泽西岛,63,2,
安提瓜和巴布达,7,,
波多黎各,239,8,
危地马拉,39,1,12
乌拉圭,338,1,41
委内瑞拉,143,3,41
苏丹,7,2,
几内亚,16,,1
埃塞俄比亚,29,,2
哈萨克斯坦,369,3,24
肯尼亚,59,1,1
特立尼达和多巴哥,89,4,1
加蓬,18,1,
加纳,161,5,3
法属波利尼西亚,36,,
古巴,186,6,8
留尼汪岛,247,,1
科特迪瓦,179,1,7
洪都拉斯,172,10,3
玻利维亚,115,7,1
圣马丁岛,18,1,
圣巴泰勒米岛,5,,
牙买加,36,1,2
土耳其,13531,214,243
刚果（金）,109,8,3
巴拿马,1075,27,9
蒙古国,14,,2
布基纳法索,261,14,32
塞浦路斯,262,8,23
文莱,131,1,52
马提尼克,111,2,
法属圭亚那,43,0,6
法罗群岛,173,,75
阿尔巴尼亚,243,15,52
孟加拉国,54,6,25
保加利亚,412,8,20
摩尔多瓦,353,4,22
马尔代夫,18,,13
巴拉圭,69,3,1
马耳他,169,,2
哥斯达黎加,347,2,4
哥伦比亚,906,16,31
多哥,34,1,10
秘鲁,1065,30,394
斯洛伐克,400,0,3
喀麦隆,233,6,5
梵蒂冈,6,,
塞尔维亚,900,23,42
直布罗陀,69,,14
不丹,4,,
列支敦士登,68,,
巴勒斯坦,134,1,18
南非,1353,5,31
波黑,424,13,17
匈牙利,525,20,40
斯洛文尼亚,841,15,10
波兰,2347,35,13
阿根廷,1054,80,240
智利,2738,12,156
乌克兰,669,17,10
沙特阿拉伯,1563,10,165
突尼斯,394,10,3
塞内加尔,175,1,40
拉脱维亚,446,,1
摩洛哥,638,36,24
约旦,274,5,30
葡萄牙,7443,160,43
安道尔,376,12,10
印度尼西亚,1677,157,103
捷克,3330,32,45
多米尼加,1109,51,5
亚美尼亚,571,3,31
爱尔兰,3235,71,5
卢森堡,2178,23,80
厄瓜多尔,2240,75,54
卡塔尔,781,2,62
圣马力诺,236,26,13
摩纳哥,52,1,2
冰岛,1135,2,198
墨西哥,1215,29,35
阿塞拜疆,298,5,26
白俄罗斯,163,1,53
新西兰,708,1,83
立陶宛,581,8,7
尼日利亚,139,2,9
埃及,710,46,157
荷兰,12667,1040,253
爱沙尼亚,779,4,26
丹麦,3039,90,77
罗马尼亚,2245,85,220
北马其顿,329,9,12
挪威,4651,39,13
格鲁吉亚,115,,22
巴基斯坦,2042,26,82
希腊,1314,49,52
阿尔及利亚,716,44,46
瑞士,16605,433,1823
克罗地亚,867,6,67
奥地利,10366,146,1095
阿曼,210,1,34
阿富汗,196,4,5
巴林,567,4,295
科威特,317,,80
伊拉克,694,50,170
黎巴嫩,479,12,37
以色列,5591,21,226
伊朗,47593,3036,15473
巴西,5812,202,127
比利时,13964,828,2132
西班牙,102136,9053,22647
瑞典,4435,180,16
俄罗斯,2777,24,190
英国,25481,1793,179
意大利,105792,12428,15729
印度,1637,45,148
菲律宾,2311,96,50
芬兰,1418,17,10
阿联酋,664,6,61
斯里兰卡,143,2,17
柬埔寨,109,,23
尼泊尔,5,,1
加拿大,8591,102,1592
德国,71921,781,17200
越南,212,,58
法国,52836,3532,9522
美国,189800,4087,7136
韩国,9887,165,5567
澳大利亚,4862,21,358
马来西亚,2908,45,645
日本,2341,66,424
新加坡,926,3,240
泰国,1771,12,342
中国,82691,3321,76434
